Year,Total_Exports,Goods,Services
1965,39.1,24.4,15.2
1966,43.8,27.9,15.7
1967,45.4,27.6,17.0
1968,46.5,27.9,16.9
1969,51.3,31.3,19.3
1970,51.9,33.2,17.5
1971,55.6,34.1,21.6
1972,61.4,38.2,23.6
1973,72.4,46.6,24.6
1974,83.5,51.2,31.5
1975,86.1,53.3,31.2
1976,89.1,56.6,32.7
1977,95.5,62.2,33.3
1978,104.3,64.6,38.5
1979,110.2,69.8,38.5
1980,121.1,81.5,44.3
1981,138.0,83.7,51.3
1982,142.2,89.7,53.5
1983,149.2,97.9,54.4
1984,157.0,98.1,54.7
1985,176.8,109.8,63.6
1986,199.1,122.5,72.4
1987,218.8,139.2,71.6
1988,238.7,156.4,98.0
1989,253.7,161.4,95.7
1990,268.4,178.5,103.1
1991,276.4,176.5,112.9
1992,294.8,191.6,102.5
1993,331.7,221.9,128.3
1994,377.7,223.1,152.9
1995,395.1,239.2,159.0
1996,425.1,259.7,154.0
1997,460.3,280.3,175.9
1998,489.7,327.9,170.9
1999,517.2,326.1,184.2
2000,577.3,375.5,204.5
2001,650.7,412.9,241.0
2002,698.2,440.5,261.5
2003,726.3,422.9,282.4
2004,747.1,454.4,291.8
2005,831.6,507.7,310.4
2006,923.5,545.8,369.7
2007,981.9,667.2,355.1
2008,1152.1,714.0,423.0
2009,1261.1,764.8,427.7
2010,1341.8,856.7,489.3
2011,1374.7,867.4,552.6
2012,1378.1,842.2,486.6
2013,1520.8,943.4,573.1
2014,1702.9,1110.6,654.2
2015,1843.9,1183.6,662.7
2016,1967.4,1244.0,712.3
2017,2248.7,1431.6,792.7
2018,2348.4,1487.4,891.9
2019,2477.8,1454.5,947.7
