Year,ShippingTraffic,IndustrialDischarge,FishingIntensity
1995,54.20034907665963,32.610425250500874,58.06609739381987
1996,63.694533601131404,42.86778825691271,65.7244879460699
1997,34.2942109204405,17.796313672971873,56.89639047214799
1998,38.46101680516106,23.05637366376014,57.18220905822905
1999,45.29502547794672,28.481227758582232,61.43652818286456
2000,54.57322462970016,32.119717173215015,63.86985857806337
2001,50.60410530988314,31.683641232487368,59.74499092222058
2002,56.08047335686787,31.585925989124792,64.46434535376908
2003,58.47210711407309,34.17977740440595,60.706509320193796
2004,55.3355712838722,33.85805059238857,59.77445853606344
2005,57.84591759926417,33.014420245570136,61.81395531301321
2006,51.57028044991246,30.024024780825904,60.11068285016821
2007,45.64022279412615,28.220826325939584,55.50660546119791
2008,42.945658217280354,25.51379219439786,59.85450474770846
2009,42.294265723899755,23.986346317469472,60.879715115704705
2010,51.72565357738811,32.44750158076859,62.458755614915205
2011,48.32847293207973,27.08515226732307,59.87884180366159
2012,67.86130743531051,42.98331749267948,64.96828939188667
2013,52.855260848516856,31.598373991771197,61.63306701289947
2014,70.36808379171002,43.99519748296991,67.16098222235566
