Year,DissolvedCO2,Alkalinity,Salinity
1995,1987.3025376565074,2278.86311479846,34.92705336630578
1996,1957.690462603025,2313.0636052520726,34.9279890251926
1997,1963.7394976869737,2323.787185910241,34.971474323357505
1998,1962.5569288693944,2313.9448676095417,35.20905391492003
1999,1971.93779520397,2291.736859953717,35.10040561480091
2000,1962.435017255246,2314.130674660105,35.1031915860011
2001,1958.5090903849446,2285.369759749105,34.89188817229642
2002,1982.1030164273302,2284.1772410363906,34.9999645038911
2003,1951.3680265370322,2332.48131675519,34.978011845158086
2004,1991.1421088091124,2280.99139736265,35.02927951308453
2005,1993.2932051684138,2287.95735242754,35.083435452162625
2006,1982.5088151766863,2296.197809258284,34.98595681689147
2007,1991.0229293259772,2301.360481159508,35.01191449624008
2008,1989.100728597077,2319.825730198881,35.066571458615876
2009,1988.2864969691104,2311.911927597023,35.04075864497858
2010,2016.45976608369,2320.3956796632,35.08078427433411
2011,2011.2166909094917,2311.5795505898755,34.726353555493674
2012,2032.0803717895635,2304.413249397989,34.90148471451647
2013,2046.6215555099268,2279.127214083304,34.98447242495068
2014,2022.5752454134313,2302.212297065954,34.89867719874993
